"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0030266",0.0608270569833424,0.274162985696931,3.4272689236629,-0.0219317168131852,1,1,"FBgn0030266","CG11122"
"FBgn0027359",0.423707757621867,1.74934507596953,0.932351738798972,2.99075300917912,0.0837412195852905,1,"FBgn0027359","Tim8"
"FBgn0030296",0,NA,NA,NA,NA,NA,"FBgn0030296","CG15196"
"FBgn0001145",0,NA,NA,NA,NA,NA,"FBgn0001145","Gs2"
"FBgn0030300",0.0103222073411662,0.439526872627503,8.04742996049566,-0.00627008596768519,1,1,"FBgn0030300","Sk1"
"FBgn0030301",0.067976436179462,0.441464082489115,3.49813653355939,-0.0329247474376047,1,1,"FBgn0030301","HP5"
"FBgn0030305",0.164410259583129,0.574120675475218,1.60093053774427,-0.0559739504533923,1,1,"FBgn0030305","Uba5"
"FBgn0030306",0.358663047662806,0.422213243315294,0.887657345623379,-0.148442787264401,1,1,"FBgn0030306",NA
"FBgn0052666",0.0317222015084254,0.418609658364961,6.45628637904504,0.00252607885467171,0.959915109615109,1,"FBgn0052666",NA
"FBgn0030310",0.575853758264364,-0.391854438996003,1.01020426312687,0.404421654781913,0.524814519736483,1,"FBgn0030310","PGRP-SA"
"FBgn0030311",0.0932431784327776,1.18193767769028,2.42751925140446,0.234986404582685,0.627850882729783,1,"FBgn0030311","CG11699"
"FBgn0030313",0,NA,NA,NA,NA,NA,"FBgn0030313",NA
"FBgn0030314",0.0438227936128553,0.996298594436699,4.55555000958624,0.0141211820577922,0.905407996489038,1,"FBgn0030314","CG11696"
"FBgn0030316",0.0187530033108432,0.775670354008439,8.04738462693443,-0.00375640201013994,1,1,"FBgn0030316","CG11695"
"FBgn0019660",0.0996449330221091,-0.113291206735028,3.08155856740839,-0.015526255431098,1,1,"FBgn0019660","lncRNA:roX2"
"FBgn0002948",0.00880347981862989,0.598810977881926,8.04745769463537,-0.00409991404832866,1,1,"FBgn0002948","nod"
"FBgn0030318",0.0810848188572478,0.370840545670391,2.93215251922666,-0.010172407197274,1,1,"FBgn0030318","rho-4"
"FBgn0030321",0.359550588091698,-0.309603379030228,0.950615018335794,0.486297907590767,0.485583387211932,1,"FBgn0030321","CG1703"
"FBgn0002723",0.0516834984095132,0.344075902028036,4.97206373680797,0.00166966657828027,0.967406267462376,1,"FBgn0002723","Met"
"FBgn0004370",0.0448764615681699,0.422812002785689,5.14670114872103,-0.0346712167494729,1,1,"FBgn0004370","Ptp10D"
"FBgn0014133",0.660709638900736,-0.657609987445432,0.861115067224045,0.934098395106616,0.33380021925306,1,"FBgn0014133","bif"
"FBgn0030326",0.462506578329532,0.745027042033649,1.73235140743472,0.373615032565993,0.541040329651081,1,"FBgn0030326","CG2444"
"FBgn0030323",0.0523479050943254,1.02344602513266,4.95385578521935,0.0414890541545958,0.838596835238694,1,"FBgn0030323","Vlet"
"FBgn0030320",0.0224280545730476,0.114626844576897,7.51635162951971,-0.00380396675946315,1,1,"FBgn0030320","CG2247"
"FBgn0030319",0,NA,NA,NA,NA,NA,"FBgn0030319","CG2533"
"FBgn0000618",0.109567456003651,0.558127389877789,2.53238363270546,-0.0374284440574115,1,1,"FBgn0000618","e(y)2"
